0.85A 20-30m,,1.63A 20-30m,,2.94A 20-30m,,4.4A 20-30m,,12A 20-30m,,17A 20-30m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
22.657398113625906,12.923891565313138,22.71773063212987,12.792048225593348,22.818641014724637,12.666294105351527,22.81404302496127,12.477762372639093,23.342880263474367,12.063059741429544,23.01430190531873,11.304842707103836
22.751818202420743,12.919914648425632,22.856701719830617,12.788752589186027,22.968851004114974,12.665486181841715,22.968929746084992,12.477121569348757,23.48911902781002,12.060025642227341,23.208914107126986,11.298371190447275
22.89340022542431,12.920515676660523,23.012537329403695,12.789912977283619,23.118781476354318,12.663847586883735,23.12382006803637,12.476389305035863,23.650897214688143,12.058583981545368,23.32550746641991,11.28701129934617
23.048277584396114,12.92011267202884,23.1599507727747,12.78788250257362,23.271348497837312,12.662649101344138,23.278704268580732,12.475812524461318,23.82024162923677,12.055969657207411,23.51871552992348,11.281917547357294
23.20314126022281,12.920057219282878,23.31478672222842,12.788531299701361,23.42624710169231,12.66170647667936,23.4335841481319,12.475345497113842,23.99219098539527,12.053918527006838,23.655798106952744,11.270739426036455
23.358001695304615,12.92008408145722,23.469632753999583,12.788924005965939,23.581141744636884,12.660864459139393,23.588465468014128,12.474841885357344,24.143598063077352,12.05226335092386,23.849850035692327,11.26403751476084
23.51286609129685,12.920010336506747,23.62449751007458,12.78884111491321,23.736037467829753,12.65999500329266,23.743348228227426,12.474301689191822,24.73847388049839,12.028214698913764,23.95517299025928,11.253451248705312
23.667730487289077,12.919936591556276,23.77937810979128,12.788355795361223,23.890926709532838,12.659290177286534,23.89821874562668,12.474072460503,24.912739855995135,12.027026073705107,24.15045474854751,11.249799015165229
23.822594883281308,12.919862846605803,23.93422198106585,12.788803378239335,24.045812710491028,12.65866766620071,24.053102586088272,12.473504826030712,25.10635619922524,12.026023347225767,24.249758932898846,11.238130230247599
23.97745927927354,12.919789101655331,24.089080615733824,12.788875970924956,24.200700511863047,12.657999424603606,24.207979224894544,12.47312011360354,25.28062857619338,12.024672124643672,24.455164740271403,11.22903731961227
24.13232367526577,12.919715356704858,24.24394393147776,12.788829664281252,24.355589033400598,12.65731289080199,24.362864145604437,12.472525040824483,25.45494064228417,12.022312798346263,24.65820540390945,11.221633314709639
24.287188071258,12.919641611754386,24.398829932435945,12.788207153195428,24.510476834772618,12.656644649204887,24.517739344079647,12.472176912806335,25.62928215514338,12.019205524131042,24.731960863464145,11.21027485327048
24.44205246725023,12.919567866803913,24.553739698856692,12.786980999360715,24.665365716392934,12.655948969301015,24.672625705120602,12.471545255618254,25.803669758596634,12.014927548827071,24.886435552583922,11.196844279947305
24.596916863242463,12.91949412185344,24.69641769857341,12.786680019139613,24.820257838758145,12.65517097447684,24.827510265747726,12.470959328941454,25.978121376763845,12.009023599788723,24.95159352040607,11.180018970875652
24.75178125923469,12.919420376902968,24.808071240836284,12.78278702320417,24.97514347963357,12.654557609493272,24.97787290699969,12.470503598590623,26.205551879468196,11.999756686404098,24.99799349564133,11.166135591873191
24.906645655226924,12.919346631952495,24.95094015643553,12.777636779567008,25.130031281005586,12.653889367896168,25.122476768580867,12.468815300130744,26.30332846567591,11.994325002077048,25.090570499983247,11.152110523587867
25.06151005121915,12.919272887002023,25.132718738724876,12.776838868164957,25.284923763453563,12.65310222696974,25.26455064063724,12.468172061995038,26.44807387659258,11.995597153684468,25.145302402022352,11.137361776915554
25.216374447211386,12.91919914205155,25.279978746828377,12.77870564924954,25.43981012449452,12.65247056978166,25.397386613337943,12.46569428104194,26.57202484705195,11.989418485501197,25.27201411613688,11.123529698666584
25.371238843203614,12.919125397101078,25.434876270435076,12.777790462891527,25.59469684561824,12.651829766491323,25.535669506599213,12.465346214752268,26.7220840311249,11.982549250360707,25.343852301061528,11.107893825446919
25.526103239195848,12.919051652150605,25.58974678783433,12.777561234202706,25.74958032599707,12.651271278121289,25.668516590425263,12.462586211215275,26.900057684409326,11.978335231753364,25.4104205927621,11.092382450918477
25.680967635188075,12.918977907200134,25.74461082374379,12.77749663535449,25.904462366044832,12.650749374160279,25.80185488326091,12.463313305300819,27.06363488492326,11.971353885304922,25.44084624104866,11.077344705963496
