0.85A 600-1200m,
X,Y
1086.7070934895,11.007737811755584
1088.7680041152255,10.997459612982786
1093.920280679539,10.986324897645586
1100.6182402131467,10.964055466971187
1105.255289121029,10.946925135683188
1110.922793341774,10.933220870652788
1116.0750699060875,10.912664473107188
1045.4888809749914,11.126793614207179
1039.306149097815,11.141354395801978
1035.184327846364,11.161054276783176
1031.0625065949132,11.173902025249177
