0.85A 60-120m,,1.63A 60-120m,,2.94A 60-120m,,4.4A 60-120m,
X,Y,X,Y,X,Y,X,Y
116.26275670307854,12.799333586497646,116.35503396226424,12.584367965339222,116.13100528301895,12.302652856452536,107.65363018867932,11.972854385363066
117.00439245283027,12.801030458359952,117.06932830188688,12.581988388371068,116.87452075471707,12.299767405387914,108.22277380688132,11.972540241873102
117.77434609164429,12.798693720756825,117.83412830188689,12.577248191716311,117.58881509433971,12.2969069503646,110.62444528301894,11.943311818366256
118.33557735849065,12.79637065382984,118.23817358490575,12.576324029583725,118.34412154915599,12.2923215908193,111.16016603773593,11.937769607948013
,,,,118.75766037735858,12.292076113539535,111.74458867924537,11.933665773252919
,,,,,,112.28262857142865,11.930650768602467
,,,,,,112.70007331536397,11.921909229922036
,,,,,,113.1894113207548,11.920394548774416
,,,,,,113.48162264150952,11.909761629687011
,,,,,,113.97096064690035,11.90868145621066
,,,,,,114.38840539083567,11.900355533563618
,,,,,,114.88006253369281,11.896296702948097
,,,,,,115.29750727762813,11.8863083161675
,,,,,,115.78916442048526,11.882476185206556
,,,,,,116.19019680696671,11.87290685564385
,,,,,,116.54984150943405,11.872325481473284
,,,,,,117.75764830188687,11.846754707537949
,,,,,,118.23817358490575,11.844953160647428
