0.85A 10-20,,1.63A 10-20,,2.94A 10-20m,,4.4A 10-20m,,12A 10-20m,,17A 10-20m,,34A 10-20m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
16.042557941739297,12.915666265387046,15.996821177971487,12.79511531326722,15.905347650435873,12.691949680708255,16.01206676589409,12.498991738329451,15.905347650435877,12.175285685242239,15.719903473204912,11.727904395153901,13.876668084201572,10.368519534004061
16.164522645120115,12.915666265387046,16.11878588135231,12.79511531326722,16.027312353816694,12.691949680708255,16.134031469274912,12.498991738329451,16.027312353816697,12.173864769701206,15.85791693245445,11.717352865472211,13.91935573038486,10.353719723506098
16.286487348500934,12.915666265387046,16.240750584733128,12.79511531326722,16.149277057197516,12.691770573707284,16.255996172655735,12.498991738329451,16.14927705719752,12.172252806692471,15.973952796087591,11.7086044835137,13.9796682001817,10.33902643644467
16.408452051881756,12.915666265387046,16.36271528811395,12.79511531326722,16.271241760578334,12.69093474103609,16.377960876036553,12.49881263132848,16.271241760578338,12.17091547441856,16.144013699462338,11.702751380440718,14.031773791804623,10.324871555883128
16.53041675526258,12.915666265387046,16.484679991494772,12.79511531326722,16.393206463959157,12.689907860897192,16.499925579417376,12.49896785739599,16.39320646395916,12.169196047209244,16.247200641161932,11.70294102829327,14.073971401233255,10.310288265848557
16.652381458643397,12.915666265387046,16.60664469487559,12.79511531326722,16.51517116733998,12.68891680215849,16.621890282798198,12.49888427412887,16.51517116733998,12.167261691598762,16.341019643762564,11.697532915361405,14.103968507099486,10.295754506638948
16.774346162024223,12.915666265387046,16.728609398256413,12.79511531326722,16.637135870720797,12.687949624353248,16.743854986179016,12.4988962145956,16.6306020473254,12.165504737208291,16.465174606946743,11.687568190654625,14.136566267030862,10.280107664604694
16.89631086540504,12.915666265387046,16.850574101637235,12.79511531326722,16.75910057410162,12.68655258974568,16.86581968955984,12.498991738329451,16.735143221651818,12.16115158419423,16.583776312991695,11.679350340021864,14.165063789070805,10.265761469376194
17.01827556878586,12.915666265387046,16.972538805018054,12.79511531326722,16.881065277482442,12.685466007273126,16.98778439294066,12.498920095529064,16.84404027824184,12.159404864489527,16.745379544971286,11.673552049377115,14.21664469487561,10.251573010774877
17.140240272166682,12.915666265387047,17.094503508398873,12.79511531326722,17.00302998086326,12.684415246200766,17.10974909632148,12.49880069086175,16.948581452568256,12.155283697686246,16.850432938786106,11.67375866367552,14.277656939875673,10.237214482467014
17.262204975547505,12.915666265387047,17.2164682117797,12.79511531326722,17.124994684244083,12.683686877730153,17.231713799702298,12.498549941060391,17.064012332553673,12.153100298055367,16.949811585985294,11.6682819696014,14.318790133957048,10.222890417623915
17.384169678928323,12.915666265387047,17.338432915160517,12.79511531326722,17.2469593876249,12.68323313999436,17.353678503083124,12.498167846124987,17.185977035934496,12.150962954510454,17.08518676022396,11.658255515463125,14.372848447799278,10.207807220048858
17.506134382309142,12.915666265387047,17.460397618541336,12.79511531326722,17.368924091005724,12.68277940225857,17.475643206463943,12.497976798657286,17.307941739315318,12.14943457476884,17.2012226238571,11.649952910929253,14.40131176499452,10.192901843578355
17.628099085689968,12.915666265387047,17.582362321922158,12.79511531326722,17.490888794386542,12.68277940225857,17.597607909844765,12.497367834853986,17.429906442696137,12.14812112342839,17.353879102924214,11.644174981922509,14.428431320433766,10.177796846997369
17.750063789070786,12.915666265387047,17.70432702530298,12.79511531326722,17.612853497767365,12.68277940225857,17.719572613225587,12.496973799451851,17.55187114607696,12.14689125535506,17.459224881008836,11.64486259811193,14.470628929862398,10.163286336950495
17.87202849245161,12.915666265387047,17.8262917286838,12.79511531326722,17.734818201148187,12.68277940225857,17.841537316606406,12.496376776115284,17.67383584945778,12.145804672882507,17.55304388360947,11.63885195085885,14.513473115564533,10.148678028795157
17.99399319583243,12.915666265387047,17.94825643206462,12.79511531326722,17.856782904529005,12.68277940225857,17.963502019987224,12.49598274071315,17.7958005528386,12.14444345967513,17.65838966169409,11.638966424645165,14.576153690506402,10.13433560236906
18.11595789921325,12.915666265387047,18.070221135445443,12.79511531326722,17.978747607909828,12.68277940225857,18.08546672336805,12.495337955509655,17.91776525621942,12.143237472535263,17.69690483118277,11.62947438203935,14.624718264937275,10.120480157360324
18.237922602594068,12.915666265387047,18.192185838826262,12.79511531326722,18.10071231129065,12.68277940225857,18.20743142674887,12.494669289372698,18.039729959600244,12.142234473329829,17.811046140761206,11.621056981439358,14.660850308313844,10.106106921567168
18.35988730597489,12.915666265387047,18.31415054220708,12.79511531326722,18.22267701467147,12.68277940225857,18.329396130129687,12.49397674230228,18.161694662981063,12.141219533657663,17.954185271812307,11.614972650280466,14.696118435041463,10.09111861090107
18.481852009355713,12.915666265387047,18.436115245587903,12.79511531326722,18.34464171805229,12.682218200322195,18.45136083351051,12.49300956449704,18.28365936636188,12.14004936791799,18.134020606643297,11.609715614647474,14.729945964185674,10.075920092644422
18.60381671273653,12.915666265387047,18.558079948968725,12.794733218331816,18.466606421433113,12.681633117452359,18.573325536891332,12.492173731825844,18.405624069742704,12.138747857044272,18.23556316636796,11.609884116140726,14.780754547387549,10.058128765751013
18.725781416117353,12.915666265387047,18.680044652349544,12.792966029255576,18.58857112481393,12.68102415364906,18.69529024027215,12.491230434954067,18.527588773123526,12.137291120103045,18.293641596549303,11.60198748747572,14.923010228633458,10.02189239339383
18.847746119498176,12.915666265387047,18.802009355730366,12.791270482979721,18.71053582819475,12.680510713579611,18.817254943652973,12.490000566880736,18.649553476504344,12.135285121692178,18.416609861039877,11.59305588457392,14.825807569636403,10.04269444608759
18.969710822878994,12.915666265387047,18.92397405911119,12.790160019573705,18.832500531575572,12.679949511643237,18.939219647033795,12.488949805808376,18.771518179885167,12.132670159478009,18.55638599475511,11.58603957267185,15.034715682998696,9.972293454239484
19.091675526259813,12.915666265387047,19.045938762492007,12.790076436306585,18.954465234956395,12.6793644287734,19.061184350414614,12.487815461468898,18.89348288326599,12.130556696866558,18.662439628200836,11.588304849788887,15.066840314692751,9.958163289609077
19.213640229640635,12.915666265387047,19.16790346587283,12.789957031639272,19.076429938337213,12.678624119836057,19.183149053795432,12.486728878996344,19.015447586646808,12.128479055655301,18.720518058382176,11.580571976096195,15.090470975972785,9.94450878418672
19.335604933021457,12.915666265387047,19.28986816925365,12.789957031639272,19.198394641718036,12.677907691832175,19.305113757176255,12.486155736593238,19.13556806568215,12.125530915901694,18.880596731569504,11.57309383236044,15.166174848500958,9.929343595406774
19.457569636402276,12.915988657988795,19.41183287263447,12.789957031639272,19.320359345098858,12.677036037760786,19.427078460557077,12.485618415590327,19.25359842379262,12.12199345633844,19.01375363243319,11.562455824158887,15.219296193918776,9.916002682505919
19.579534339783095,12.916191645923227,19.53379757601529,12.790434650308526,19.442324048479676,12.676355431157099,19.549043163937895,12.485701998857447,19.373718902827967,12.119822217275065,19.12978949606633,11.552900797336745,15.255123325536893,9.901838969100417
19.690064852221965,12.916812550193258,19.655762279396107,12.790518233575646,19.564288751860495,12.676021098088619,19.671007867318714,12.486466188728254,19.495683606208786,12.117446064395523,19.28244597513344,11.541311003259915,15.280278545609189,9.886858496279148
,,19.73580161598977,12.791217944926103,19.686253455241317,12.676056919488813,,,19.617648309589608,12.114998268715594,19.389726770146705,11.528080865570269,15.32193166975487,9.871202051329853
,,,,19.77391558579628,12.67715714820906,,,19.728178822028475,12.114839368658323,19.48424941526684,11.52421024387463,15.358139941071052,9.856177532619876
,,,,,,,,,,19.59477992770571,11.516753024385338,15.403604462197384,9.842149189991488
,,,,,,,,,,19.691786128277755,11.508484572154158,15.456873272379333,9.82823497961653
,,,,,,,,,,19.764189952121527,11.493864659375502,15.511079807215255,9.81421582638053
,,,,,,,,,,19.83108654050605,11.481855020285145,15.55997644711232,9.798976661136328
,,,,,,,,,,,,15.577415054220712,9.784214864185783
,,,,,,,,,,,,15.616748671061028,9.768472552847154
,,,,,,,,,,,,15.657606846693604,9.75383067492249
,,,,,,,,,,,,15.69867157545287,9.739927349531031
,,,,,,,,,,,,15.751770772097913,9.725982696983372
,,,,,,,,,,,,15.811892196470342,9.711418137092693
,,,,,,,,,,,,15.849228115582868,9.696094812614266
,,,,,,,,,,,,15.876762173081016,9.68147144653044
,,,,,,,,,,,,15.920048753075548,9.663699938159866
,,,,,,,,,,,,15.964847792189387,9.64579333193713
,,,,,,,,,,,,16.023500956836067,9.631264480159487
,,,,,,,,,,,,16.090501303759083,9.617885318957851
,,,,,,,,,,,,16.12796146667612,9.606166549219711
