0.85A 120-180m,,1.63A 120-180m,,2.94A 120-180m,,4.4A 120-180m,
X,Y,X,Y,X,Y,X,Y
133.89953343251082,12.78641505964312,133.9856696798284,12.549777099514426,133.6079953646667,12.233067484591636,132.56939099797205,11.614121617897109
134.55218115257094,12.786044849158152,134.67807259095818,12.54835371656927,134.30039827579648,12.229667948625538,133.31280164706905,11.583030842605641
135.24458406370073,12.784649104716786,135.37047550208794,12.547275814921484,134.99280118692627,12.22653097844544,133.67723565577967,11.593225066465399
135.9369869748305,12.78307371000079,136.06287841321773,12.546170274769908,135.64544890698636,12.223363460445366,134.22724514267958,11.571366595503607
136.62938988596028,12.781000822216585,136.7552813243475,12.544663976313386,136.22852504267462,12.217555010675309,134.67217142978376,11.553899621348645
137.32179279709004,12.779231957974064,137.44768423547725,12.54261872703297,136.88117276273474,12.214632602564102,134.55218115257094,11.581533189690944
138.0141957082198,12.778264610341434,138.14008714660704,12.540642574012027,137.5735756738645,12.210583561758956,135.39717974659433,11.542279933713848
138.7065986193496,12.778112598570592,138.83249005773683,12.538459132212664,138.2659785849943,12.208082277166014,135.27605692329752,11.56841674546403
139.39900153047935,12.778126417822488,139.48292915607084,12.537356663005953,138.95838149612405,12.205760642847704,136.0786148430161,11.528522100716456
140.09140444160914,12.777380178220174,140.21729587999636,12.538334758945611,139.6507844072538,12.202720407430869,135.7229715295722,11.556742241463384
140.7838073527389,12.77655102310649,140.90969879112615,12.5370633877713,140.32820024238512,12.19941036757228,136.34613414958898,11.541865356157007
141.4762102638687,12.775334928939758,141.61708877825438,12.532403009584714,140.98763158631823,12.194994787562116,137.0196533449607,11.51669799783022
142.16861317499846,12.773800991979446,142.2945046133857,12.531134928708472,141.62529223037987,12.191264974939207,137.07000992031556,11.530891554033385
142.86101608612825,12.77222559726345,142.98690752451546,12.53004320780879,142.2083683660681,12.185632538798545,137.6171534794601,11.498764172516807
143.553418997258,12.770746937310717,143.67931043564525,12.52886857139774,142.86101608612825,12.182102083603972,138.35562854869426,11.486487007397637
144.24582190838777,12.769696674166719,144.371713346775,12.527680115734796,143.553418997258,12.178605812874613,137.99531199246172,11.516793548086179
