0.85A 30-60m,,1.63A 30-60m,,2.94A 30-60m,,4.4A 30-60m,,12A 30-60m,,17A 30-60m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
46.8311530023564,12.889060727022208,47.2462521329325,12.704880643768238,47.53026732753719,12.556885074313099,47.1588628422849,12.35981113670672,44.21020252701716,11.455360978278488,,
47.180710164946795,12.889060727022208,47.59580929552289,12.70381372272147,47.87982449012759,12.556192710655091,47.50842000487529,12.35742758968735,44.45542217289497,11.440172315020853,,
47.53026732753719,12.889060727022208,47.945366458113284,12.703643469362945,48.22938165271799,12.555364144310262,47.85797716746569,12.35499864177237,44.669724547005785,11.428035692575783,,
47.87982449012759,12.889060727022208,48.294923620703685,12.704086128095113,48.578938815308376,12.554546928189335,48.207534330056085,12.353148555276382,44.92726454522342,11.414673964907784,,
48.22938165271799,12.889060727022208,48.644480783294085,12.703881824064881,48.92849597789878,12.55336650490355,48.55709149264648,12.351718427064759,45.20830656587716,11.40010430491672,,
48.578938815308376,12.888958575007093,48.99403794588447,12.703246211526382,49.27805314048918,12.551959077139731,48.90664865523688,12.350379100644352,45.454043430567985,11.386751144837088,,
48.92849597789878,12.888515916274924,49.34359510847487,12.702372244285947,49.62761030307957,12.549950087509119,49.25620581782727,12.34915327646296,45.656294392313896,11.371443424016634,,
49.27805314048918,12.888856422991976,49.69315227106527,12.70123722189577,49.97716746566997,12.547396287131221,49.605762980417666,12.347893401609864,45.75375633108531,11.356891480250717,,
49.62761030307957,12.889333132395851,50.04270943365567,12.699965996818772,50.326724628260365,12.544910588096734,49.955320143008066,12.346122766681189,45.98274863898596,11.344655434430216,,
49.97716746566997,12.888913174111487,50.39226659624607,12.699205531817354,50.66608637360854,12.542524771032584,50.30487730559847,12.344420233095924,46.29285924677015,11.330579138974443,,
50.326724628260365,12.886847433361364,50.74182375883646,12.698626670398363,50.99233972535957,12.53903798224996,50.65443446818887,12.342172888763374,46.54131185504187,11.314569774274599,,
50.676281790850766,12.884577388581011,51.09138092142686,12.697321394649661,51.33170147070775,12.536738426887462,51.00399163077926,12.339846092863512,46.621262652497435,11.298407920217446,,
51.02583895344116,12.883079159025977,51.43074266677503,12.695083887177825,51.68125863329814,12.534718087032948,51.353548793369654,12.337042587559775,46.890140773543536,11.287547161209272,,
51.37539611603155,12.882704601637219,51.75699601852607,12.691730274355649,52.03081579588854,12.533015553447683,51.70310595596005,12.333648870613146,47.20680557812629,11.273666594059005,,
51.724953278621946,12.882704601637219,52.09635776387424,12.690499910084698,52.380372958478944,12.531244918519008,52.05266311855044,12.33110642045915,47.4583218339437,11.258874251681098,,
52.07451044121234,12.882704601637219,52.44591492646464,12.690386407845681,52.729930121069344,12.529428882694724,52.39202486389863,12.329104240962879,47.56303831153004,11.242097837980223,,
52.42406760380274,12.882704601637219,52.79547208905504,12.69070421411493,53.07948728365974,12.528293860304547,52.718278215649654,12.32604119387259,47.79534817583491,11.229191876722322,,
52.77362476639314,12.882704601637219,53.14502925164544,12.69109012172759,53.42904444625013,12.527567445974835,53.05763996099783,12.324171433655172,48.088659192042805,11.215455524181628,,
