0.85A 300-600m,,1.63A 300-600m,
X,Y,X,Y
507.94054138091843,12.236654689035765,459.5534557515243,11.5880722518987
510.66541139076486,12.23408757919178,461.2048921211282,11.575704978823708
513.3902814006112,12.231633067282083,463.2691875831331,11.570326530319424
516.2675916907288,12.22674964896183,464.92062395273695,11.558564783913285
518.8400214203041,12.22015583062904,467.1326795109695,11.552252611290795
521.5648914301505,12.215618256934956,469.32789476411733,11.54272991747349
524.2897614399969,12.210592758858946,471.93922852355354,11.530039153507177
526.8023039166087,12.209120617779245,473.9897620158117,11.519151404982985
529.7395014596898,12.207335171409158,476.20382008976594,11.513125865210766
532.4643714695362,12.20446780040706,478.243829722806,11.502258952069894
535.1892414793826,12.200812243864926,480.3615540085334,11.49696440247857
538.0705633558232,12.193013413654056,482.01299037813726,11.485643039104326
540.6389814990755,12.189860464238574,484.0713878531078,11.484285083991194
543.3638515089219,12.187349653361732,485.4869047413398,11.472009535894887
546.0887215187684,12.183074808180995,487.54530221631035,11.47025444965478
548.6571396620209,12.178592412979935,489.19673858591426,11.457501841426879
551.5384615384612,12.177377598821566,491.2551360608848,11.455109772587067
554.2633315483076,12.173646976989904,492.6706529491167,11.442539325139045
556.9882015581541,12.170329214250641,494.7290504240873,11.440434291668234
559.8245435229487,12.162953563476055,496.3804867936912,11.428424829806657
562.4379415778469,12.159640163137636,498.4654252103161,11.421990037321283
565.1628115876933,12.154783561963061,500.32329112612047,11.409671523356316
567.7885954153636,12.149987554474658,502.42887249736543,11.403260701514967
570.6125516073862,12.149461679051269,504.2867384131698,11.390477721071049
573.3374216172326,12.146031318377716,506.37167682979475,11.384359453889848
576.062291627079,12.141925370098416,508.0231131993986,11.372019704754349
578.8461415072686,12.133165051574041,510.0937603397481,11.370132527404873
581.5120316467719,12.128928061332442,511.2370624417817,11.356311379452832
584.2369016566183,12.123245741973065,513.3018115950968,11.355962096644376
586.8053197998709,12.117737125248071,514.7173284833287,11.342860830363268
589.7898564494114,12.115627548274738,516.7757259582993,11.340677157065334
591.6683653198359,12.109603302419636,518.4271623279031,11.328640171264263
,,520.491457789908,11.325766401253878
,,522.1428941595119,11.313261508481418
,,524.2012916344825,11.308069861795992
,,525.6168085227145,11.294378796811454
,,527.6693080106506,11.288499083868128
