0.85A 180-300,,1.63A 180-300,,2.94A 180-300,
X,Y,X,Y,X,Y
227.53322127301067,12.626034829123556,229.10903903525013,12.317648140768899,236.06525309217295,11.397259088644187
228.70049368948435,12.623467756591195,230.36524649297894,12.315052328060403,237.82606268827323,11.377615609358688
229.86776610595803,12.621254763028814,231.58810331023707,12.311680147393918,239.41855577074801,11.360872732349595
231.0350385224317,12.6196968155609,232.7348789789215,12.31214382223556,241.03078131550132,11.34035048385854
232.20231093890538,12.618404427320469,233.53737876524715,12.304486864509725,242.6666919910333,11.320099789582823
233.36958335537906,12.616970407492047,234.7119466343238,12.303903438934189,244.28358044940796,11.305889326582573
234.53685577185274,12.615200012642143,235.99594629244484,12.299960286768494,245.7681115226668,11.281823953805095
235.65224941426092,12.614035486251984,237.2799459505659,12.296306835578237,245.50921648670533,11.302487639335258
236.68982489557087,12.61073074919883,238.56394560868694,12.293683432300652,247.60723506684093,11.26875695851077
238.2496799580979,12.60446324879857,239.84794526680798,12.291124407017609,248.3023326261245,11.25456895206452
239.76713409951367,12.601113117005674,241.13194492492903,12.288742421219556,250.0258076594801,11.241860182152736
240.75258138957508,12.60324099543104,242.41594458305008,12.286811081383297,250.77707366993934,11.220970792024119
241.62803570193034,12.598018330623823,243.69994424117112,12.28462222956887,252.27210104964973,11.206344134017654
242.7077626871685,12.59714198517312,244.98394389929217,12.281435518839043,253.9784263528977,11.183172861978665
243.87503510364218,12.594875879765244,246.26794355741322,12.277572839166524,253.50503253955006,11.204053685680591
245.04230752011586,12.592804517790857,247.55194321553427,12.274563167921688,256.10840374720044,11.15843114688185
246.20957993658953,12.591335090065435,248.8359428736553,12.271263795701412,255.66448651002636,11.18038940785354
247.3768523530632,12.590219741309996,250.11994253177636,12.268254124456575,257.85140571383147,11.151358403677563
248.5441247695369,12.589139800451555,251.4039421898974,12.26566291017626,258.4075766887395,11.136014616238487
249.71139718601057,12.588024451696114,252.68794184801848,12.262621049934152,259.80122921022627,11.120297914781492
250.87866960248425,12.58701532663167,253.97194150613953,12.259176827226158,260.7959956332164,11.103468021362193
252.04594201895793,12.585227227833267,255.25594116426058,12.25695578641446,262.10616271693755,11.086256670638972
253.16133566136614,12.583565023779746,256.5399408223816,12.254927879586388,262.2595756631026,11.102314994972769
254.19891114267608,12.579670155109957,257.79614828011046,12.25315595192709,263.76368954833015,11.067581534107983
255.22675935384873,12.579916043283554,259.01900509736856,12.249429692290624,263.42684807957636,11.088623941466844
256.10221366620397,12.574671248540714,260.2226852963561,12.246143502231137,265.12116167803356,11.051520757279157
257.0943952202066,12.575423666351922,261.37828498866503,12.240283495277954,266.5325001452245,11.03337689248408
257.96984953256185,12.57011248180221,262.6097573880447,12.237014702605086,266.1115746374658,11.057464992108532
259.0495765178,12.569240562338633,263.89375704616583,12.233972842362977,268.0008266596843,11.016155778944103
260.2168489342737,12.567240016158241,265.1777567042869,12.231124116104496,269.4367236292584,10.995386335939193
261.38412135074736,12.564938502853366,266.4617563624079,12.228935264290069,268.97139205782634,11.0174540685007
262.55139376722104,12.562477654012,267.745756020529,12.226504994996109,271.0211931649369,10.975790776366289
263.7186661836948,12.5605833315226,268.9560332102412,12.224844720400027,270.72230068253685,10.99703551456514
264.88593860016846,12.558901456415192,270.0372960802378,12.219086278204022,272.3214638931058,10.959172670041857
266.05321101664214,12.556971726028797,271.19504601120866,12.216843467465223,273.56705652332994,10.941064386202902
267.2204834331158,12.553926646886962,272.3506457035176,12.211727026349001,273.34866361960263,10.961155512273749
268.3877558495895,12.550686824311638,273.58211810289737,12.208768857499797,275.2465621041654,10.923373974773204
269.5550282660632,12.548810205770739,274.8661177610184,12.206113265224941,276.4386930998788,10.898827778030181
270.72230068253685,12.547464705684812,276.15011741913946,12.203393294955543,277.7509481617319,10.881012266554091
271.79230039763775,12.548609561021083,277.4341170772605,12.200303151217529,279.3760339155758,10.860961893434935
272.57048200862016,12.543085929089383,278.6903245349894,12.197801606286754,280.75435861745234,10.841686644995036
273.5529362924855,12.545083524611691,279.9131813522474,12.194024763940293,282.2946394194569,10.822115782341681
274.4283906048408,12.539816599933227,281.0604433844387,12.19415290680562,283.60120634429643,10.803147771919809
275.50811759007894,12.538949106456773,281.7452432021033,12.185159300968106,284.3418684847494,10.783698719925862
276.6753900065526,12.535726987829948,282.9202974346868,12.18477196003428,285.5069731095925,10.766256284037508
277.8426624230263,12.532664204739614,284.20429709280785,12.180442539901332,286.7382509635695,10.748545844090684
279.0099348395,12.530822994095713,285.4882967509289,12.177497246651036,288.34487174791036,10.7245717471649
280.17720725597366,12.52942438216429,286.77229640904994,12.174728992885733,288.056296067171,10.745875498525411
281.34447967244733,12.527653987314386,288.056296067171,12.17152618765727,289.30315523931336,10.701164981316015
282.511752088921,12.524892171348535,289.31250352489985,12.168193860035025,289.91809557144654,10.679007685044535
283.6790245053947,12.521882500103699,290.53536034215796,12.163253615358627,289.5153865877631,10.726755234146449
284.81865099621507,12.519680687982476,291.7915677998868,12.159390935686108,290.97447710835525,10.670456677919498
285.924488022348,12.51660579166422,293.07556745800787,12.156687059915345,293.4526862387147,10.640496149690351
286.97656908193284,12.516004789202016,294.3595671161289,12.155286838534058,294.19528433158814,10.619954525571494
287.8520233942881,12.5107821243948,295.4101122909552,12.154907468209078,294.8638288000455,10.6002782260693
288.93175037952625,12.509950038815344,,,296.2347337722705,10.58476956718414
290.09902279599993,12.506993479416005,,,295.9353848783684,10.608138779202875
291.1662432910616,12.505900892880064,,,297.3732522641154,10.565370331495494
292.4841494336612,12.504042821332831,,,298.56563872348903,10.546871314763859
293.600840045421,12.502213413321265,,,299.3239080403081,10.528450182782485
294.7681124618947,12.501947854093778,,,300.3893629132272,10.509714942090206
295.9353848783684,12.502160301475767,,,300.09587727708526,10.544050485636346
,,,,301.83011058156046,10.505986996363408
,,,,269.3324265105274,11.006893478863105
,,,,267.35450557442846,11.0287109366273
,,,,266.09582861509284,11.041801411285817
,,,,264.6573406615663,11.059255377497173
